"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Requires Shipping","Variant Taxable","Status"
"stand-up-pouch","Stand-up Pouch","<p>Snacks, coffee, pet food, spices, dry goods</p><p><strong>Standard specification:</strong> 250 g stock stand-up pouch with zipper and premium full-colour labels at 250 units; direct digital print available from 500 units</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","flexible","flexible,instant-buy,smartstock","FALSE","Order quantity","250 units","FP-101-250","8000.00","TRUE","TRUE","draft"
"stand-up-pouch","","","","","","","FALSE","Order quantity","500 units","FP-101-500","10620.00","TRUE","TRUE","draft"
"stand-up-pouch","","","","","","","FALSE","Order quantity","1,000 units","FP-101-1000","15800.00","TRUE","TRUE","draft"
"stand-up-pouch","","","","","","","FALSE","Order quantity","2,500 units","FP-101-2500","28500.00","TRUE","TRUE","draft"
"stand-up-pouch","","","","","","","FALSE","Order quantity","5,000 units","FP-101-5000","44500.00","TRUE","TRUE","draft"
"flat-bottom-pouch","Flat-bottom & Gusseted Pouch","<p>Specialty coffee, protein powder, premium snacks, tea</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","flexible","flexible,instant-buy","FALSE","Order quantity","500 units","FP-103-500","14000.00","TRUE","TRUE","draft"
"flat-bottom-pouch","","","","","","","FALSE","Order quantity","1,000 units","FP-103-1000","21840.00","TRUE","TRUE","draft"
"flat-bottom-pouch","","","","","","","FALSE","Order quantity","2,500 units","FP-103-2500","40600.00","TRUE","TRUE","draft"
"flat-bottom-pouch","","","","","","","FALSE","Order quantity","5,000 units","FP-103-5000","63000.00","TRUE","TRUE","draft"
"spout-pouch","Spout & Refill Pouch","<p>Home care, personal care, sauces, concentrates, oils and refill systems</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","flexible","flexible,instant-buy","FALSE","Order quantity","500 units","FP-104-500","16000.00","TRUE","TRUE","draft"
